actual_matches_fifo,admitted,attempt_depth,best_validation_gap,best_validation_gap_after,block,branch_development,classification,controller,eligible_count,family_differentiated,family_fallback_count,family_observations_min,family_q_span,family_scale_exceeds_gain_scale,full_vs_fifo_differs,full_vs_gain_differs,global_gain,global_improved,job_id,multi_branch,node_id,parent_gain,parent_id,parent_improved,same_history_FR_prompt_differs,same_history_FR_selection_differs,seed,step,success_depth,test_data_used,valid,weighted_gain_span
True,True,2,0.05339894758902569,0.05026034389925829,12,True,competitive_local_improvement,niche_fixed_dev,2,True,1,1,0.02857142857142858,True,True,True,0.0031386036897673997,True,minimax-niche_fixed_dev-b12-s1,True,8,0.0031386036897673997,5,True,True,True,1,5,2,False,True,0.0075657988160996725
True,False,,0.05026034389925829,0.05026034389925829,12,False,competitive_local_improvement,niche_fixed_dev,3,False,0,2,0.15000000000000002,True,False,False,-0.0007901294841911252,False,minimax-niche_fixed_dev-b12-s1,False,9,0.0023484742055762745,5,True,False,False,1,6,,False,True,0.0037457301673904583
True,True,2,0.05026034389925829,0.05026034389925829,12,True,competitive_local_improvement,niche_fixed_dev,3,True,0,2,0.15000000000000002,True,False,False,-0.0010462068845175157,False,minimax-niche_fixed_dev-b12-s1,True,10,0.002092396805249884,5,True,False,False,1,7,2,False,True,0.0037457301673904583
True,False,,0.05026034389925829,0.05026034389925829,12,False,unproductive_repeat,niche_fixed_dev,3,False,0,3,0.20000000000000007,True,False,False,-0.0001763270662033245,False,minimax-niche_fixed_dev-b12-s1,False,11,-0.0001763270662033245,8,False,False,False,1,8,,False,True,0.000971864162252473
True,True,3,0.05026034389925829,0.05026034389925829,12,True,competitive_local_improvement,niche_fixed_dev,3,True,0,3,0.30000000000000004,True,True,True,-0.0001763270662033245,False,minimax-niche_fixed_dev-b12-s1,True,12,0.003648102616621289,6,True,True,True,1,9,3,False,True,0.000971864162252473
True,False,,0.05026034389925829,0.05026034389925829,12,False,competitive_novel_behavior_without_parent_gain,niche_fixed_dev,3,False,0,3,0.22857142857142865,True,False,False,-0.010035495717427574,False,minimax-niche_fixed_dev-b12-s1,False,13,-0.010035495717427574,8,False,False,False,1,10,,False,True,0.00016454397237285028
True,True,3,0.05026034389925829,0.0478027985714297,12,True,competitive_local_improvement,niche_fixed_dev,3,True,0,4,0.09523809523809523,True,True,True,0.002457545327828589,True,minimax-niche_fixed_dev-b12-s1,True,14,0.006281975010653203,6,True,True,True,1,11,3,False,True,0.00016454397237285028
True,True,,0.0478027985714297,0.0478027985714297,12,False,competitive_local_improvement,niche_fixed_dev,3,False,0,4,0.04166666666666663,True,False,False,-0.00795337073403627,False,minimax-niche_fixed_dev-b12-s1,False,15,0.004539670311219893,13,True,False,False,1,12,1,False,True,0.0007858428302214508
True,False,4,0.0478027985714297,0.0478027985714297,12,True,known_rule_reproduction,niche_fixed_dev,3,True,0,2,0.125,True,True,False,0.0,False,minimax-niche_fixed_dev-b12-s1,True,16,0.0026338723940319136,12,True,True,True,1,13,,False,True,0.0006584680985079784
True,True,,0.0478027985714297,0.0478027985714297,12,False,competitive_local_improvement,niche_fixed_dev,3,False,0,2,0.05555555555555558,True,False,False,-0.005351424740183172,False,minimax-niche_fixed_dev-b12-s1,False,17,0.007141616305072991,13,True,False,False,1,14,1,False,True,0.0011144809255856395
True,False,4,0.0478027985714297,0.045578312931624704,12,True,competitive_local_improvement,niche_fixed_dev,3,True,0,2,0.25,True,True,False,0.002224485639804999,True,minimax-niche_fixed_dev-b12-s1,True,18,0.002224485639804999,14,True,True,True,1,15,,False,True,0.0006504864984632746
True,True,,0.045578312931624704,0.04353279789814847,12,False,competitive_local_improvement,niche_fixed_dev,3,False,0,2,0.25,True,False,False,0.0020455150334762334,True,minimax-niche_fixed_dev-b12-s1,False,19,0.009866149690877221,5,True,False,False,1,16,2,False,True,0.0010001571999365974
True,False,2,0.04353279789814847,0.04353279789814847,12,True,low_quality_novel_behavior,niche_fixed_dev,3,True,0,2,0.25,True,True,True,-0.050585302136738786,False,minimax-niche_fixed_dev-b12-s1,True,20,-0.03836193072942128,15,False,True,True,1,17,,False,True,0.001331619844914332
True,True,,0.04353279789814847,0.04353279789814847,12,False,competitive_local_improvement,niche_fixed_dev,3,False,0,2,0.35,True,False,False,-0.0036274942941823193,False,minimax-niche_fixed_dev-b12-s1,False,21,0.013135547424355076,13,True,False,False,1,18,1,False,True,0.0018990786338168187
True,True,2,0.04353279789814847,0.04353279789814847,12,True,competitive_local_improvement,niche_fixed_dev,3,True,0,2,0.11363636363636365,True,False,True,-0.004787261157830437,False,minimax-niche_fixed_dev-b12-s1,True,22,0.004834164255633967,17,True,False,False,1,19,2,False,True,0.0014984827798205213
True,False,,0.04353279789814847,0.04353279789814847,12,False,competitive_novel_behavior_without_parent_gain,niche_fixed_dev,3,False,0,3,0.1636363636363637,True,False,False,-0.01566446798148055,False,minimax-niche_fixed_dev-b12-s1,False,23,-0.008146792496179604,9,False,False,False,1,20,,False,True,0.0020753457921802772
True,False,3,0.04353279789814847,0.04353279789814847,12,True,unproductive_repeat,niche_fixed_dev,3,True,0,3,0.1636363636363637,True,True,True,-0.0002699579865657539,False,minimax-niche_fixed_dev-b12-s1,True,24,-0.0002699579865657539,19,False,True,True,1,21,,False,True,0.0020753457921802772
True,False,,0.04353279789814847,0.04353279789814847,12,False,competitive_novel_behavior_without_parent_gain,niche_fixed_dev,3,False,0,3,0.21666666666666667,True,False,False,-0.002806402768465034,False,minimax-niche_fixed_dev-b12-s1,False,25,-0.002806402768465034,19,False,False,False,1,22,,False,True,0.0020753457921802772
True,True,3,0.04353279789814847,0.041144230502667495,12,True,competitive_local_improvement,niche_fixed_dev,3,True,0,4,0.13095238095238093,True,True,False,0.0023885673954809755,True,minimax-niche_fixed_dev-b12-s1,True,26,0.0023885673954809755,19,True,True,True,1,23,3,False,True,0.0020753457921802772
True,False,,0.041144230502667495,0.03645191159725611,12,False,unproductive_repeat,niche_fixed_dev,3,False,0,4,0.09890109890109888,True,False,False,0.004692318905411386,True,minimax-niche_fixed_dev-b12-s1,False,27,,,False,False,False,1,24,,False,True,0.002686745007218525
True,True,2,0.03645191159725611,0.03645191159725611,12,True,competitive_local_improvement,niche_fixed_dev,3,True,0,4,0.1428571428571429,True,False,False,-0.00503855518751644,False,minimax-niche_fixed_dev-b12-s1,True,28,0.0056698254075582405,21,True,False,False,1,25,2,False,True,0.002686745007218525
True,True,,0.03645191159725611,0.03645191159725611,12,False,competitive_local_improvement,niche_fixed_dev,3,False,0,4,0.08333333333333337,True,False,False,-0.0049259366252932466,False,minimax-niche_fixed_dev-b12-s1,False,29,0.004961352444064149,25,True,False,False,1,26,1,False,True,0.0004334023641358927
True,True,2,0.03645191159725611,0.03645191159725611,12,True,competitive_local_improvement,niche_fixed_dev,3,False,0,7,0.0,False,False,False,-0.005854281218845209,False,minimax-niche_fixed_dev-b12-s1,True,30,0.004854099376229472,21,True,False,False,1,27,2,False,True,0.00040160531702834734
True,True,,0.03645191159725611,0.03645191159725611,12,False,competitive_local_improvement,niche_fixed_dev,3,False,0,8,0.0,False,False,False,-0.0037446659363320964,False,minimax-niche_fixed_dev-b12-s1,False,31,0.006142623133025299,25,True,False,False,1,28,1,False,True,0.00020393150783219217
True,False,3,0.03645191159725611,0.03645191159725611,12,True,competitive_local_improvement,niche_fixed_dev,3,True,0,5,0.3714285714285715,True,False,True,-0.0029779234207299096,False,minimax-niche_fixed_dev-b12-s1,True,32,0.0020606317667865304,28,True,False,False,1,29,,False,True,0.00029531767224028754
True,True,,0.03645191159725611,0.03645191159725611,12,False,competitive_local_improvement,niche_fixed_dev,3,False,0,5,0.3896103896103897,True,False,False,-0.0018148354580737394,False,minimax-niche_fixed_dev-b12-s1,False,33,0.020930518824299173,23,True,False,False,1,30,1,False,True,0.0008269276073115447
True,False,2,0.03645191159725611,0.03645191159725611,12,True,competitive_local_improvement,niche_fixed_dev,3,True,0,5,0.3896103896103897,True,False,True,-0.00451440740483338,False,minimax-niche_fixed_dev-b12-s1,True,34,0.0004115292204598664,29,True,False,False,1,31,,False,True,0.003992291595058756
