admission_improved_global,admission_parent_gain,admission_step,attempts_received,block,controller,eviction_step,final_best_parent_ancestor,first_followup_step,future_scheduled_slots,global_improving_followups,initial_grant,job_id,node_id,parent_improving_followups,seed,unused_at_eviction,unused_at_horizon,valid_followups
False,0.006297063760980645,19,1,13,niche_fixed_dev,28,False,27,6,0,2,minimax-niche_fixed_dev-b13-s0,22,1,0,1,0,1
True,0.012234782699885677,21,2,13,niche_fixed_dev,,True,29,5,1,2,minimax-niche_fixed_dev-b13-s0,24,2,0,0,0,2
False,0.0067034863363968356,26,0,13,niche_fixed_dev,,False,,3,0,2,minimax-niche_fixed_dev-b13-s0,29,0,0,0,2,0
False,0.006930760014944158,28,0,13,niche_fixed_dev,,False,,2,0,2,minimax-niche_fixed_dev-b13-s0,31,0,0,0,2,0
True,0.008044043650685971,1,1,12,relational_branch,23,True,23,15,1,2,minimax-relational_branch-b12-s1,4,1,1,1,0,1
True,0.03601453256291152,2,2,12,relational_branch,7,False,3,15,1,2,minimax-relational_branch-b12-s1,5,1,1,0,0,2
True,0.004958626975348802,5,2,12,relational_branch,9,False,7,13,1,2,minimax-relational_branch-b12-s1,8,2,1,0,0,2
True,0.0010521475527059537,7,0,12,relational_branch,8,False,,12,0,2,minimax-relational_branch-b12-s1,10,0,1,2,0,0
False,0.011096325475733769,8,1,12,relational_branch,30,True,17,12,0,2,minimax-relational_branch-b12-s1,11,0,1,1,0,1
False,0.0001380841238387831,9,1,12,relational_branch,11,False,11,11,1,2,minimax-relational_branch-b12-s1,12,1,1,1,0,1
True,0.002292518531613566,11,2,12,relational_branch,16,False,13,10,1,2,minimax-relational_branch-b12-s1,14,1,1,0,0,2
False,0.0013849916029920056,16,0,12,relational_branch,18,False,,8,0,2,minimax-relational_branch-b12-s1,19,0,1,2,0,0
False,0.010203588667565974,18,1,12,relational_branch,20,False,19,7,0,2,minimax-relational_branch-b12-s1,21,0,1,1,0,1
False,0.026103288382994548,20,2,12,relational_branch,29,True,21,6,1,2,minimax-relational_branch-b12-s1,23,1,1,0,0,2
True,0.020197177917492613,23,2,12,relational_branch,27,False,25,4,1,2,minimax-relational_branch-b12-s1,26,1,1,0,0,2
True,0.00038175737862149867,27,0,12,relational_branch,28,False,,2,0,2,minimax-relational_branch-b12-s1,30,0,1,2,0,0
