job_id,provider,model,task,method,block,regime,steps,token_budget,single_test_loss,selector_test_loss,single_algorithm_seconds,selected_algorithm_seconds,saved_selector_feature_and_predict_seconds,selector_total_seconds,end_to_end_time_ratio,single_feature_calls,selected_feature_calls,selected_local_checks,test_instances,prediction_timing_mode,exact_reference_generation_timed,replay_matches
minimax-tsp-niche-b2-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,niche,2,tokens30000,32,30000,0.038170672259754554,0.04037581497385612,0.29299069999251515,0.29591220000293106,0.06168059993069619,0.35759279993362725,1.2204919812907455,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational-b2-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational,2,slots8,8,,0.05206376641266345,0.041599121208279174,0.22529580001719296,0.32108260004315525,0.06948710000142455,0.3905697000445798,1.7335862453484456,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational-b2-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational,2,tokens30000,32,30000,0.05206376641266345,0.057674013501132486,0.22567449999041855,0.25005579995922744,0.09904550004284829,0.34910130000207573,1.5469239990202592,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational_qp-b2-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp,2,slots8,8,,0.05206376641266345,0.059174678118603205,0.22777290001977235,0.3274970999918878,0.06209219992160797,0.3895892999134958,1.7104286764565784,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational_qp-b2-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp,2,tokens30000,32,30000,0.05206376641266345,0.05206376641266345,0.20747500006109476,0.23116819991264492,0.06717000005301088,0.2983381999656558,1.4379477039537523,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational_qp_rr-b2-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp_rr,2,slots8,8,,0.05206376641266345,0.05206376641266345,0.21501719998195767,0.22994099999777973,0.06954600010067225,0.29948700009845197,1.3928513631634225,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational_qp_rr-b2-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp_rr,2,tokens30000,32,30000,0.05206376641266345,0.05242246836835903,0.2186132000060752,0.23310199996922165,0.06569359998684376,0.2987955999560654,1.3667774862074291,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational_rr-b2-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_rr,2,slots8,8,,0.05206376641266345,0.05206376641266345,0.2217345000244677,0.2155860000057146,0.1334473000606522,0.3490333000663668,1.574104616231809,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational_rr-b2-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_rr,2,tokens30000,32,30000,0.05206376641266345,0.05206376641266345,0.21789369999896735,0.21621489990502596,0.06370139995124191,0.27991629985626787,1.2846461364307205,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-niche-b2-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,niche,2,slots8,8,,0.05206376641266345,0.04306761364959994,0.21370399999432266,0.22372009989339858,0.06576220004353672,0.2894822999369353,1.3545946727465363,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-niche-b2-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,niche,2,tokens30000,32,30000,0.05206376641266345,0.035829466068654524,0.21473769994918257,0.2222298999549821,0.0896671999944374,0.3118970999494195,1.4524561826974471,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-relational-b2-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational,2,slots8,8,,0.030257266916305408,0.02806646555534044,0.2618291999679059,0.23642730002757162,0.09491639991756529,0.3313436999451369,1.265495597839171,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-relational-b2-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational,2,tokens30000,32,30000,0.05206376641266345,0.0565781759785986,0.2120361999841407,0.2173699999693781,0.06534490000922233,0.28271489997860044,1.3333331761262754,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-relational_qp-b2-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp,2,slots8,8,,0.05206376641266345,0.05206376641266345,0.2256323000183329,0.21445899992249906,0.06523870001547039,0.27969769993796945,1.2396172884611099,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-relational_qp-b2-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp,2,tokens30000,32,30000,0.05206376641266345,0.060896476280633466,0.2266661999747157,0.23337499995250255,0.06596999999601394,0.2993449999485165,1.3206424247722333,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
