job_id,provider,model,task,method,block,regime,steps,token_budget,status,result_present,source_fingerprint,benchmark_version,request_errors,usage_complete,reservation_violations,budget_stop_stage,selector_status,validation_selected_test_loss,validation_selected_test_valid,common_gate_test_behavior_modes,common_gate_test_eligible_size,valid_fraction,tokens_used,token_budget_valid,learned_selector_test_loss,selector_gain_vs_single,selector_seconds_per_instance,oracle_gain_upper_bound,parent_improvements,neighborhood_improvements,productive_collisions,unproductive_collisions,restarts,generated,valid_generated,input_tokens,output_tokens,model_calls,partial_attempts,elapsed_seconds
qwen-tsp-relational_qp-b3-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp,3,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,ok,0.05844285706175843,True,3,3,1.0,26321,,0.0594425477910855,-0.0009996907293270685,0.0018270916674130906,0.022207117666347004,1,0,0,1,5,8,8,24572,1749,16,0,52.78270910005085
qwen-binpack-relational_qp-b1-slots8,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational_qp,1,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,not_applicable_online_task,0.11352826487106794,True,2,2,1.0,28125,,,,,,2,0,2,6,6,8,8,26687,1438,16,0,45.05075669998769
qwen-binpack-relational_qp-b1-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational_qp,1,tokens30000,32,30000,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,planner_admission,not_applicable_online_task,0.11352826487106794,True,2,2,1.0,19996,True,,,,,0,0,0,6,6,6,6,18955,1041,12,0,31.632811499992386
qwen-binpack-relational_qp_rr-b1-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational_qp_rr,1,tokens30000,32,30000,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,planner_admission,not_applicable_online_task,0.11352826487106794,True,2,2,1.0,19951,True,,,,,0,0,0,6,6,6,6,19019,932,12,0,26.592663600109518
qwen-tsp-relational_rr-b0-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_rr,0,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,ok,0.04347354180268412,True,4,4,1.0,29184,,0.059219215872887476,-0.015745674070203358,0.0017949527795685248,0.017620594532652346,1,2,2,1,5,8,8,27504,1680,16,0,42.2187094000401
minimax-binpack-relational_qp_rr-b4-slots8,minimax-cn-coding-plan,MiniMax-M3,binpack,relational_qp_rr,4,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,not_applicable_online_task,0.10828340769890829,True,4,4,0.75,32414,,,,,,2,0,1,3,5,8,6,29152,3262,16,0,34.540643099928275
qwen-tsp-relational_rr-b1-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_rr,1,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,ok,0.06260632551445816,True,6,7,1.0,28817,,0.059000300882123255,0.003606024632334906,0.0019143027764382875,0.035254623742451446,2,1,1,2,5,8,8,27121,1696,16,0,43.66904559999239
qwen-binpack-niche-b1-slots8,alibaba-token-plan-cn,qwen3.7-plus,binpack,niche,1,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,not_applicable_online_task,0.11352826487106794,True,2,2,1.0,16225,,,,,,3,0,3,5,1,8,8,14907,1318,16,0,34.291816799901426
qwen-binpack-niche-b4-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,binpack,niche,4,tokens30000,32,30000,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,planner_admission,not_applicable_online_task,0.10828340769890829,True,3,4,0.9090909090909091,24246,True,,,,,1,0,0,8,2,11,10,21829,2417,22,0,55.250119899981655
minimax-binpack-relational_qp-b0-slots8,minimax-cn-coding-plan,MiniMax-M3,binpack,relational_qp,0,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,not_applicable_online_task,0.10892689570996252,True,4,5,1.0,33442,,,,,,0,0,0,5,5,8,8,30123,3319,16,0,45.550587699981406
