model,task,regime,contrast,metric,eligible_paired_blocks,block_ids,mean_difference,bootstrap_95_low,bootstrap_95_high
qwen3.7-plus,tsp,slots8,relational_qp_minus_niche,modes,5,"[0, 1, 2, 3, 4]",-1.4,-3.2,0.6
qwen3.7-plus,tsp,slots8,relational_qp_minus_niche,selector_loss,5,"[0, 1, 2, 3, 4]",-0.0036223444340541993,-0.019345628347790016,0.01026343024085435
qwen3.7-plus,tsp,slots8,relational_qp_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",7749.2,6304.2,9029.6
qwen3.7-plus,tsp,slots8,relational_rr_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.0016938099618233394,-0.009311774131326115,0.012699394054972793
qwen3.7-plus,tsp,slots8,relational_rr_minus_niche,modes,5,"[0, 1, 2, 3, 4]",-1.4,-2.8,0.2
qwen3.7-plus,tsp,slots8,relational_rr_minus_niche,selector_loss,5,"[0, 1, 2, 3, 4]",-0.004660440204503634,-0.021994816849606646,0.009019550143538264
qwen3.7-plus,tsp,slots8,relational_rr_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",7708.2,6207.6,9194.6
qwen3.7-plus,tsp,slots8,relational_qp_rr_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.0008752279841284752,-0.008264429742660954,0.009895471771659736
qwen3.7-plus,tsp,slots8,relational_qp_rr_minus_niche,modes,5,"[0, 1, 2, 3, 4]",-1.2,-2.2,-0.2
qwen3.7-plus,tsp,slots8,relational_qp_rr_minus_niche,selector_loss,5,"[0, 1, 2, 3, 4]",-0.003597256590629476,-0.021579008532264736,0.013729423038636968
qwen3.7-plus,tsp,slots8,relational_qp_rr_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",7806.2,6374.8,9326.4
qwen3.7-plus,tsp,tokens30000,relational_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.0007061277009452457,-0.003718901835714908,0.005513254415256637
qwen3.7-plus,tsp,tokens30000,relational_minus_niche,modes,5,"[0, 1, 2, 3, 4]",-1.2,-2.2,-0.2
qwen3.7-plus,tsp,tokens30000,relational_minus_niche,selector_loss,5,"[0, 1, 2, 3, 4]",0.006143736402296793,0.0008736066946405136,0.013923731838741033
qwen3.7-plus,tsp,tokens30000,relational_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",-3785.0,-4652.2,-3093.0
qwen3.7-plus,tsp,tokens30000,relational_qp_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.0043802053320344935,0.0003870032912222862,0.0083734073728467
qwen3.7-plus,tsp,tokens30000,relational_qp_minus_niche,modes,5,"[0, 1, 2, 3, 4]",-0.8,-2.0,0.0
qwen3.7-plus,tsp,tokens30000,relational_qp_minus_niche,selector_loss,5,"[0, 1, 2, 3, 4]",0.011270247364228606,0.000606442575390144,0.021439175996473502
qwen3.7-plus,tsp,tokens30000,relational_qp_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",-3844.0,-4400.4,-3018.6
qwen3.7-plus,tsp,tokens30000,relational_rr_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.004329906522961587,-0.0042156804213900915,0.014391417657109652
qwen3.7-plus,tsp,tokens30000,relational_rr_minus_niche,modes,5,"[0, 1, 2, 3, 4]",0.4,-0.8,1.8
qwen3.7-plus,tsp,tokens30000,relational_rr_minus_niche,selector_loss,5,"[0, 1, 2, 3, 4]",0.008210267458272351,-0.002404831655653518,0.018825366572198222
qwen3.7-plus,tsp,tokens30000,relational_rr_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",-4176.8,-5815.6,-2538.0
qwen3.7-plus,tsp,tokens30000,relational_qp_rr_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.008197437139345485,0.0024333863767858647,0.015750631239565382
qwen3.7-plus,tsp,tokens30000,relational_qp_rr_minus_niche,modes,5,"[0, 1, 2, 3, 4]",-1.4,-2.8,0.0
qwen3.7-plus,tsp,tokens30000,relational_qp_rr_minus_niche,selector_loss,5,"[0, 1, 2, 3, 4]",0.013189417970970957,0.0020659859088909493,0.023519040668907375
qwen3.7-plus,tsp,tokens30000,relational_qp_rr_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",-3615.8,-4477.4,-2818.2
