job_id,provider,model,task,method,block,regime,steps,token_budget,relational_qp_fixed_history_decision_changes,relational_qp_fixed_history_action_changes,relational_qp_fixed_history_parent_changes,relational_rr_fixed_history_decision_changes,relational_rr_fixed_history_action_changes,relational_rr_fixed_history_parent_changes,relational_qp_rr_fixed_history_decision_changes,relational_qp_rr_fixed_history_action_changes,relational_qp_rr_fixed_history_parent_changes,restarts,restart_trigger_untried,restart_trigger_saturation,restart_trigger_no_growth,proposals,valid_proposals,global_improvements,global_improvements_colliding,local_development_events,local_only_collisions,local_only_credit_eligible,local_only_credit_exhausted,parent_improvements,neighborhood_improvements,reported_tokens,usage_complete,unused_token_fraction,mean_planner_input_tokens,mean_coder_input_tokens,local_only_identical_to_prior_observed_rule,local_only_weakly_dominated_on_validation,local_only_retained_in_search_archive,local_only_later_used_as_parent,local_only_later_used_as_reference
qwen-binpack-relational_qp_rr-b3-slots8,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational_qp_rr,3,slots8,8,,0,0,0,0,0,0,0,0,0,6,5,0,5,8,8,0,0,0,0,0,0,0,0,28208,True,,2785.125,550.25,,,,,
minimax-binpack-relational_qp-b1-tokens30000,minimax-cn-coding-plan,MiniMax-M3,binpack,relational_qp,1,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,5,5,0,1,6,6,0,0,0,0,0,0,0,0,21382,True,0.28726666666666667,2522.6666666666665,720.3333333333334,,,,,
minimax-tsp-relational_rr-b3-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_rr,3,slots8,8,,0,0,0,0,0,0,0,0,0,5,5,0,1,8,8,4,0,1,0,0,0,1,0,26738,True,,2352.875,753.25,,,,,
minimax-tsp-relational_qp-b0-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp,0,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,6,5,0,5,6,6,0,0,0,0,0,0,0,0,21729,True,0.27569999999999995,2479.6666666666665,814.0,,,,,
qwen-tsp-relational_qp_rr-b2-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp_rr,2,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,5,5,0,1,7,7,0,0,0,0,0,0,0,0,22202,True,0.25993333333333335,2367.4285714285716,595.2857142857143,,,,,
minimax-binpack-relational-b3-tokens30000,minimax-cn-coding-plan,MiniMax-M3,binpack,relational,3,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,5,5,0,4,5,5,0,0,0,0,0,0,0,0,18840,True,0.372,2705.4,698.4,,,,,
qwen-binpack-relational_qp-b0-slots8,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational_qp,0,slots8,8,,1,1,1,0,0,0,1,1,1,6,5,0,5,8,8,0,0,1,1,1,0,1,0,28434,True,,2794.625,560.875,1,1,0,0,0
minimax-binpack-niche-b3-slots8,minimax-cn-coding-plan,MiniMax-M3,binpack,niche,3,slots8,8,,0,0,0,0,0,0,0,0,0,1,0,0,0,8,7,0,0,2,1,1,0,2,0,27175,True,,1964.75,929.125,1,1,0,0,0
qwen-binpack-relational_qp-b4-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational_qp,4,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,6,5,0,5,6,5,0,0,0,0,0,0,0,0,20269,True,0.3243666666666667,2631.8333333333335,554.3333333333334,,,,,
qwen-binpack-niche-b2-slots8,alibaba-token-plan-cn,qwen3.7-plus,binpack,niche,2,slots8,8,,0,0,0,0,0,0,0,0,0,1,0,0,0,8,8,0,0,1,1,1,0,1,0,16071,True,,1324.625,524.75,0,1,0,0,0
minimax-tsp-relational_rr-b3-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_rr,3,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,4,4,0,2,6,6,1,0,1,0,0,0,1,0,22266,True,0.25780000000000003,2453.1666666666665,899.5,,,,,
qwen-tsp-relational_qp-b0-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp,0,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,6,5,0,3,6,6,1,0,1,1,1,0,0,2,20374,True,0.32086666666666663,2616.3333333333335,578.5,0,0,1,0,1
minimax-binpack-relational_qp_rr-b4-tokens30000,minimax-cn-coding-plan,MiniMax-M3,binpack,relational_qp_rr,4,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,5,5,0,3,6,5,0,0,0,0,0,0,0,0,20459,True,0.3180333333333333,2332.5,717.1666666666666,,,,,
qwen-tsp-relational_qp_rr-b0-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp_rr,0,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,6,5,0,3,6,6,0,0,1,1,1,0,0,1,21951,True,0.2683,2828.3333333333335,602.6666666666666,0,0,1,0,1
qwen-binpack-niche-b1-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,binpack,niche,1,tokens30000,32,30000,3,1,1,0,0,0,3,1,1,2,0,0,0,11,11,0,0,5,5,5,0,5,0,22594,True,0.24686666666666668,1350.2727272727273,525.2727272727273,5,5,0,0,0
minimax-binpack-relational_qp_rr-b2-tokens30000,minimax-cn-coding-plan,MiniMax-M3,binpack,relational_qp_rr,2,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,5,5,0,4,5,3,0,0,0,0,0,0,0,0,18838,True,0.37206666666666666,2673.6,739.0,,,,,
minimax-tsp-relational_rr-b1-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_rr,1,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,4,4,0,0,6,5,0,0,0,0,0,0,0,0,21175,True,0.2941666666666667,2420.6666666666665,770.1666666666666,,,,,
