cached_tokens,case_id,cohort,complete,config_id,dispatched,executable,failure,finish_reason,input_characters,input_tokens,job_id,json_valid,max_tokens,output_tokens,reasoning_tokens,repeat,request_id,returned_model,role,schema_valid,seconds,template,usage_complete,valid,validation_reason
128,,acceptance,True,expanded_caps,True,,,stop,2353,706,acc-p-t0-r2,True,4096,2413,2257,2,0706c45b26ec95590de33c70b5d0bc66,MiniMax-M3,planner,True,10.200987200019881,from_scratch,True,True,valid
128,,acceptance,True,expanded_caps,True,,,stop,2352,705,acc-p-t0-r3,True,4096,2353,0,3,0706c465592e06b17d98acb5bb36c652,MiniMax-M3,planner,True,33.19146640005056,from_scratch,True,True,valid
128,,acceptance,True,expanded_caps,True,,,stop,2353,706,acc-p-t0-r4,True,4096,3010,2894,4,0706c48682c47b17cd320a8ce8a44748,MiniMax-M3,planner,True,11.800324599957094,from_scratch,True,True,valid
128,,acceptance,True,expanded_caps,True,,,stop,2350,705,acc-p-t0-r5,True,4096,4089,3971,5,0706c492fe037a0e7f6944a98c320328,MiniMax-M3,planner,True,14.85840519994963,from_scratch,True,True,valid
128,,acceptance,False,expanded_caps,True,,,length,2688,826,acc-p-t1-r0,True,4096,4096,4003,0,0706c4a172b29e648b430100d1306429,MiniMax-M3,planner,True,15.903684699907899,parent_revision,True,False,incomplete_output
128,,acceptance,True,expanded_caps,True,,,stop,2692,828,acc-p-t1-r1,True,4096,3677,0,1,0706c4b1c0f917cb2ba048d75d098359,MiniMax-M3,planner,True,55.014928800053895,parent_revision,True,True,valid
128,,acceptance,True,expanded_caps,True,,,stop,2691,827,acc-p-t1-r2,True,4096,2909,2815,2,0706c4e83ecd8d21d259bd9fccef30b0,MiniMax-M3,planner,True,11.186887299991213,parent_revision,True,True,valid
128,,acceptance,False,expanded_caps,True,,,length,2692,828,acc-p-t1-r3,False,4096,4096,,3,0706c4f344a10097e50564ff7b9ca561,MiniMax-M3,planner,False,21.981073800008744,parent_revision,True,False,final_json_missing_or_malformed
128,,acceptance,True,expanded_caps,True,,,stop,2689,827,acc-p-t1-r4,True,4096,2688,2571,4,0706c509431b20b884b5e7072acb4f27,MiniMax-M3,planner,True,9.754469000035897,parent_revision,True,True,valid
128,,acceptance,False,expanded_caps,True,,,length,2696,827,acc-p-t1-r5,False,4096,4095,4095,5,0706c513911771fa49af061f830e821c,MiniMax-M3,planner,False,33.5247618999565,parent_revision,True,False,final_json_missing_or_malformed
